model,explainer,idsds
resnet18,Gradient-raw,-0.01576711255084465
resnet18,Gradient-abs,0.13850829384706936
resnet18,IxG-raw,0.09865575610724905
resnet18,IxG-abs,0.10949191293613636
resnet18,IxG-SG-raw,0.01181044581223338
resnet18,IxG-SG-abs,0.11623686384650518
resnet18,Grad-CAM,0.2820127197031186
resnet18,Grad-CAMpp,0.2508820803686047
resnet18,SG-CAMpp,0.15582162896998308
resnet18,XG-CAM,0.2820127197031186
resnet18,Layer-CAM,0.23132094920245588
resnet18,Dummy-Gaussian-1,-0.010011123802747565
resnet18,Dummy-Gaussian-2,-0.007576793801417236
resnet18,Dummy-Gaussian-4,-0.0008651486844193236
resnet18,Dummy-Gaussian-6,-0.004728237974538173
resnet18,Dummy-Gaussian-8,-0.004315432416644924
resnet18,Dummy-Gaussian-12,-0.0039230191581893495
resnet18,Dummy-Gaussian-16,-0.010647617748355499
resnet18,Dummy-Gaussian-20,-0.008850547437308181
resnet18,Dummy-Gaussian-24,-0.011144078396142145
resnet18,Dummy-Gaussian-28,-0.008556910622099548
resnet18,Dummy-Gaussian-32,-0.004271678043511005
resnet18,Dummy-Gaussian-40,-0.0028545670744104103
resnet18,Dummy-Gaussian-48,-0.011465000206884278
resnet18,Dummy-Gaussian-56,-0.005693369439304933
resnet18,Dummy-Gaussian-64,-0.0067500138255789585
resnet18,Dummy-Gaussian-80,-0.005530746311816635
resnet18,Dummy-Gaussian-96,-0.005159077884613787
resnet18,Dummy-Gaussian-128,-0.000666902590789002
resnet18,Dummy-Gaussian-160,-0.006678682123636487
resnet18,Dummy-Gaussian-256,-0.007784577037462427
resnet18,Dummy-Entropy-3,0.04310938376664562
resnet18,Dummy-Entropy-5,0.043049991842396745
resnet18,Dummy-Entropy-7,0.04266142166741224
resnet18,Dummy-Entropy-9,0.04264170576557244
resnet18,Dummy-Entropy-13,0.042610263773833694
resnet18,Dummy-Entropy-17,0.04224855534364263
resnet18,Dummy-Entropy-31,0.04053055883285988
resnet18,Dummy-Random,0.00570538220240336
resnet18,Dummy-Random-Squared,0.00570538220240336
resnet18,Dummy-Random-Plus-One,0.005700913645723559
resnet50,Gradient-raw,-0.016877839588550218
resnet50,Gradient-abs,0.12787632514132347
resnet50,IxG-raw,0.07018488251788095
resnet50,IxG-abs,0.10128802986909782
resnet50,IxG-SG-raw,-0.001342759892639182
resnet50,IxG-SG-abs,0.06117092261324613
resnet50,Grad-CAM,0.23504005963846591
resnet50,Grad-CAMpp,0.21273035342100122
resnet50,SG-CAMpp,0.09855677677647708
resnet50,XG-CAM,0.23503428536388313
resnet50,Layer-CAM,0.19092906089277425
resnet50,Dummy-Gaussian-1,-0.05951180512840015
resnet50,Dummy-Gaussian-2,-0.041067581886386914
resnet50,Dummy-Gaussian-4,-0.0421553550759127
resnet50,Dummy-Gaussian-6,-0.04353408495328346
