Model,Softmax MAD,Logit MAD
Resnet-50 / VGG-16,0.00047737126896956004,1.5775142585079553
Resnet-18,0.00019284218346513475,0.4340526353270613
Resnet-50,0.00018279918772411794,0.4159993430105302
Resnet-101,0.00018393885550330616,0.44125924972195785
Resnet-152,0.00016721347856126192,0.41942041734028856
Wide Resnet-50,0.00014186933335878776,0.2839256600703994
Fixup Resnet-50,0.0019497176555842123,1.580837453958364
X Resnet-50,0.0019614296947970795,2.3933126064031183
VGG-11,0.0001139118796816984,0.2590093775546706
VGG-13,0.00011767231043320877,0.2829203693167215
VGG-16,0.00011302836163607128,0.2822143067032471
VGG-19,0.00011430700325480444,0.28438754595878807
BN VGG-16,0.0001623239805017416,0.35820963332278066
X VGG-16,0.0018773346953236446,2.3599994580660004
