model,explainer,idsds
cifar100_resnet20,Gradient-raw,-0.010504676005105407
cifar100_resnet20,Gradient-abs,0.2001734017298521
cifar100_resnet20,IxG-raw,0.08790455416874104
cifar100_resnet20,IxG-abs,0.14119237307584268
cifar100_resnet20,IxG-SG-raw,-0.0004960007252770293
cifar100_resnet20,IxG-SG-abs,0.1248445487561959
cifar100_resnet20,IG-raw,0.26554527419948204
cifar100_resnet20,IG-abs,0.2010339929961706
cifar100_resnet20,IG-U-raw,0.3251885328757952
cifar100_resnet20,IG-U-abs,0.2203498779471335
cifar100_resnet20,IG-SG-raw,0.009827518077899826
cifar100_resnet20,IG-SG-abs,0.153200021217176
cifar100_resnet20,IG-SG-SQ-abs,0.1804837060230835
cifar100_resnet20,Grad-CAM,0.43775388525263637
cifar100_resnet20,Grad-CAMpp,0.40491206055554396
cifar100_resnet20,SG-CAMpp,0.25574150024898223
cifar100_resnet20,XG-CAM,0.43775388525263637
cifar100_resnet20,Layer-CAM,0.40141429642339277
cifar100_resnet32,Gradient-raw,-0.005397058823529381
cifar100_resnet32,Gradient-abs,0.11832500000000015
cifar100_resnet32,IxG-raw,0.08549029411764689
cifar100_resnet32,IxG-abs,0.08577117647058798
cifar100_resnet32,IxG-SG-raw,0.009727647058823506
cifar100_resnet32,IxG-SG-abs,0.10369176470588214
cifar100_resnet32,IG-raw,0.24360294117647144
cifar100_resnet32,IG-abs,0.138405588235294
cifar100_resnet32,IG-U-raw,0.3030694117647061
cifar100_resnet32,IG-U-abs,0.16534147058823545
cifar100_resnet32,IG-SG-raw,0.021304999999999956
cifar100_resnet32,IG-SG-abs,0.11571294117647067
cifar100_resnet32,IG-SG-SQ-abs,0.12934205882352923
cifar100_resnet32,Grad-CAM,0.34057542523808554
cifar100_resnet32,Grad-CAMpp,0.30913411764705956
cifar100_resnet32,SG-CAMpp,0.19117676470588188
cifar100_resnet32,XG-CAM,0.34057542523808554
cifar100_resnet32,Layer-CAM,0.30365529411764774
cifar100_resnet44,Gradient-raw,-0.008589117647058778
cifar100_resnet44,Gradient-abs,0.09266205882352939
cifar100_resnet44,IxG-raw,0.08868500000000004
cifar100_resnet44,IxG-abs,0.0599022148671776
cifar100_resnet44,IxG-SG-raw,0.0007908823529411747
cifar100_resnet44,IxG-SG-abs,0.07521411764705868
cifar100_resnet44,IG-raw,0.22217441176470534
cifar100_resnet44,IG-abs,0.10595411764705889
cifar100_resnet44,IG-U-raw,0.26301352941176515
cifar100_resnet44,IG-U-abs,0.13267588235294167
cifar100_resnet44,IG-SG-raw,0.021445294117647073
cifar100_resnet44,IG-SG-abs,0.09121058823529414
cifar100_resnet44,IG-SG-SQ-abs,0.10430647058823533
cifar100_resnet44,Grad-CAM,0.305293044261241
cifar100_resnet44,Grad-CAMpp,0.27617882352941225
cifar100_resnet44,SG-CAMpp,0.16638470588235274
cifar100_resnet44,XG-CAM,0.3052926119383266
cifar100_resnet44,Layer-CAM,0.2724114705882348
cifar100_resnet56,Gradient-raw,-0.009407058823529425
cifar100_resnet56,Gradient-abs,0.06590588235294118
cifar100_resnet56,IxG-raw,0.08456470588235286
cifar100_resnet56,IxG-abs,0.04610205882352957
cifar100_resnet56,IxG-SG-raw,0.010762058823529437
cifar100_resnet56,IxG-SG-abs,0.0612408823529409
cifar100_resnet56,IG-raw,0.2159597058823532
cifar100_resnet56,IG-abs,0.09041205882352937
cifar100_resnet56,IG-U-raw,0.27977588235294126
cifar100_resnet56,IG-U-abs,0.11921911764705853
cifar100_resnet56,IG-SG-raw,0.008836176470588238
cifar100_resnet56,IG-SG-abs,0.07846470588235319
cifar100_resnet56,IG-SG-SQ-abs,0.08741294117647064
cifar100_resnet56,Grad-CAM,0.27555423635049003
cifar100_resnet56,Grad-CAMpp,0.24951705882353062
cifar100_resnet56,SG-CAMpp,0.13767000000000001
cifar100_resnet56,XG-CAM,0.27555423635049003
cifar100_resnet56,Layer-CAM,0.24223088235294143
cifar100_vgg11_bn,Gradient-raw,-0.03181737653987201
cifar100_vgg11_bn,Gradient-abs,0.1856294344973941
cifar100_vgg11_bn,IxG-raw,0.23069530321072312
cifar100_vgg11_bn,IxG-abs,0.15996661450778282
cifar100_vgg11_bn,IxG-SG-raw,-0.004355590616813845
cifar100_vgg11_bn,IxG-SG-abs,0.0950771730823318
cifar100_vgg11_bn,IG-raw,0.3803009358288848
cifar100_vgg11_bn,IG-abs,0.1960273577042159
cifar100_vgg11_bn,IG-U-raw,0.30812548545108714
cifar100_vgg11_bn,IG-U-abs,0.18903531078828453
cifar100_vgg11_bn,IG-SG-raw,0.0219438204983866
cifar100_vgg11_bn,IG-SG-abs,0.1350729442074963
cifar100_vgg11_bn,IG-SG-SQ-abs,0.14885603644807305
cifar100_vgg11_bn,Grad-CAM,0.04843156554389434
cifar100_vgg11_bn,Grad-CAMpp,0.03815267529291926
cifar100_vgg11_bn,SG-CAMpp,0.036930665542378435
cifar100_vgg11_bn,XG-CAM,0.02978286977734716
cifar100_vgg11_bn,Layer-CAM,0.03012527095195505
cifar100_vgg13_bn,Gradient-raw,-0.007527647058823527
cifar100_vgg13_bn,Gradient-abs,0.17339064041222638
cifar100_vgg13_bn,IxG-raw,0.15489103839658952
cifar100_vgg13_bn,IxG-abs,0.12798180973825596
cifar100_vgg13_bn,IxG-SG-raw,0.009945577626706238
cifar100_vgg13_bn,IxG-SG-abs,0.10380078606378816
cifar100_vgg13_bn,IG-raw,0.3283426901426808
cifar100_vgg13_bn,IG-abs,0.17946769187469425
cifar100_vgg13_bn,IG-U-raw,0.2927135711966104
cifar100_vgg13_bn,IG-U-abs,0.1725618112537681
cifar100_vgg13_bn,IG-SG-raw,0.016851162614473402
cifar100_vgg13_bn,IG-SG-abs,0.12315445982810443
cifar100_vgg13_bn,IG-SG-SQ-abs,0.14115888263440163
cifar100_vgg13_bn,Grad-CAM,0.06060803856566615
cifar100_vgg13_bn,Grad-CAMpp,0.04390773711198071
cifar100_vgg13_bn,SG-CAMpp,0.04253149715961732
cifar100_vgg13_bn,XG-CAM,0.03852509560101248
cifar100_vgg13_bn,Layer-CAM,0.03442412219359656
cifar100_vgg16_bn,Gradient-raw,-0.009452466983476453
cifar100_vgg16_bn,Gradient-abs,0.09781768104960509
cifar100_vgg16_bn,IxG-raw,0.14350370775509722
cifar100_vgg16_bn,IxG-abs,0.07399073735088466
cifar100_vgg16_bn,IxG-SG-raw,0.00710722374375093
cifar100_vgg16_bn,IxG-SG-abs,0.060071593074105235
cifar100_vgg16_bn,IG-raw,0.2534019411006975
cifar100_vgg16_bn,IG-abs,0.1265361712745449
cifar100_vgg16_bn,IG-U-raw,0.22343619357423014
cifar100_vgg16_bn,IG-U-abs,0.13017340021433935
cifar100_vgg16_bn,IG-SG-raw,0.006436630961919127
