model_name,model_type,Top1Acc,Top5Acc
cifar100_resnet20,pretrained,68.83000183105469,91.00999450683594
cifar100_resnet20,finetuned,69.20999908447266,91.6199951171875
cifar100_resnet32,pretrained,70.13999938964844,90.8699951171875
cifar100_resnet32,finetuned,71.1500015258789,91.43000030517578
cifar100_resnet44,pretrained,71.65999603271484,91.55999755859375
cifar100_resnet44,finetuned,72.05999755859375,92.18000030517578
cifar100_resnet56,pretrained,72.61000061035156,91.91999816894531
cifar100_resnet56,finetuned,72.69999694824219,92.33999633789062
cifar100_vgg11_bn,pretrained,70.79999542236328,88.87999725341797
cifar100_vgg11_bn,finetuned,70.43000030517578,88.66999816894531
cifar100_vgg13_bn,pretrained,74.62999725341797,91.08999633789062
cifar100_vgg13_bn,finetuned,73.83000183105469,90.72999572753906
cifar100_vgg16_bn,pretrained,74.0,90.54000091552734
cifar100_vgg16_bn,finetuned,74.02999877929688,90.86000061035156
cifar100_vgg19_bn,pretrained,73.8499984741211,90.13999938964844
cifar100_vgg19_bn,finetuned,73.50999450683594,90.11000061035156
