model,explainer,idsds
resnet18,Gradient-abs,0.13850829384706936
resnet18,IxG-raw,0.09865575610724905
resnet18,IxG-abs,0.10949191293613636
resnet18,IxG-SG-raw,0.01181044581223338
resnet18,IxG-SG-abs,0.11623686384650518
resnet18,Grad-CAM,0.2820127197031186
resnet18,Grad-CAMpp,0.2508820803686047
resnet18,SG-CAMpp,0.15582162896998308
resnet18,XG-CAM,0.2820127197031186
resnet18,Layer-CAM,0.23132094920245588
resnet50,Gradient-abs,0.12787632514132347
resnet50,IxG-raw,0.07018488251788095
resnet50,IxG-abs,0.10128802986909782
resnet50,IxG-SG-raw,-0.001342759892639182
resnet50,IxG-SG-abs,0.06117092261324613
resnet50,Grad-CAM,0.23504005963846591
resnet50,Grad-CAMpp,0.21273035342100122
resnet50,SG-CAMpp,0.09855677677647708
resnet50,XG-CAM,0.23503428536388313
resnet50,Layer-CAM,0.19092906089277425
resnet101,Gradient-abs,0.0922913136705102
resnet101,IxG-raw,0.05943905474501809
resnet101,IxG-abs,0.08202905939332135
resnet101,IxG-SG-raw,-0.004406141758258233
resnet101,IxG-SG-abs,0.036649622887645936
resnet101,Grad-CAM,0.17399489647863678
resnet101,Grad-CAMpp,0.15118306818011484
resnet101,SG-CAMpp,0.06521344709181147
resnet101,XG-CAM,0.17399489647863678
resnet101,Layer-CAM,0.13129957565488612
resnet152,Gradient-abs,0.07349910772631363
resnet152,IxG-raw,0.061080990219583256
resnet152,IxG-abs,0.06610411537293395
resnet152,IxG-SG-raw,-0.004255810863483128
resnet152,IxG-SG-abs,0.033208825824958293
resnet152,Grad-CAM,0.15234029931120494
resnet152,Grad-CAMpp,0.1320699727356304
resnet152,SG-CAMpp,0.051578241847513154
resnet152,XG-CAM,0.15234029931120494
resnet152,Layer-CAM,0.112980445381831
wide_resnet50_2,Gradient-abs,0.12120600980642067
wide_resnet50_2,IxG-raw,0.06473512168058648
wide_resnet50_2,IxG-abs,0.09952317404147483
wide_resnet50_2,IxG-SG-raw,0.0002781484758063443
wide_resnet50_2,IxG-SG-abs,0.05005473002354142
wide_resnet50_2,Grad-CAM,0.22555858802058504
wide_resnet50_2,Grad-CAMpp,0.20723710845541402
wide_resnet50_2,SG-CAMpp,0.09667346418557231
wide_resnet50_2,XG-CAM,0.22555858802058504
wide_resnet50_2,Layer-CAM,0.1957475521434669
fixup_resnet50,Gradient-abs,0.17353765875455454
fixup_resnet50,IxG-raw,0.15792685669730563
fixup_resnet50,IxG-abs,0.1419996701204063
fixup_resnet50,IxG-SG-raw,0.03564274039975412
fixup_resnet50,IxG-SG-abs,0.19138714369255236
fixup_resnet50,Grad-CAM,0.3575991446169851
fixup_resnet50,Grad-CAMpp,0.27247304733772143
fixup_resnet50,SG-CAMpp,0.21612811323866787
fixup_resnet50,XG-CAM,0.3575991446169851
fixup_resnet50,Layer-CAM,0.26373048837174434
vgg11,Gradient-abs,0.3032391929706054
vgg11,IxG-raw,0.18420102711461447
vgg11,IxG-abs,0.24196253189999717
vgg11,IxG-SG-raw,0.01983805212715684
vgg11,IxG-SG-abs,0.23390670350665488
vgg11,Grad-CAM,0.6103166072730698
vgg11,Grad-CAMpp,0.5078996216528349
vgg11,SG-CAMpp,0.35499435029418674
vgg11,XG-CAM,0.6569306320348659
vgg11,Layer-CAM,0.530504219750752
vgg13,Gradient-abs,0.28509387296864974
vgg13,IxG-raw,0.15145413481863998
vgg13,IxG-abs,0.22705249177721157
vgg13,IxG-SG-raw,0.04218973430421222
vgg13,IxG-SG-abs,0.24480230726092692
vgg13,Grad-CAM,0.5956575849864949
vgg13,Grad-CAMpp,0.48671848085169067
vgg13,SG-CAMpp,0.34202128984775737
vgg13,XG-CAM,0.63645865252014
vgg13,Layer-CAM,0.5130413851373758
vgg16,Gradient-abs,0.26641150979892353
vgg16,IxG-raw,0.1394955841117995
vgg16,IxG-abs,0.21586720846890886
vgg16,IxG-SG-raw,0.03967027035132176
vgg16,IxG-SG-abs,0.22264623412454443
vgg16,Grad-CAM,0.5422010729566552
vgg16,Grad-CAMpp,0.4401358504145996
vgg16,SG-CAMpp,0.3140047415603858
vgg16,XG-CAM,0.5735181449803367
vgg16,Layer-CAM,0.4655920588985016
vgg19,Gradient-abs,0.2521794544991077
vgg19,IxG-raw,0.1433274354860474
vgg19,IxG-abs,0.20746127663402836
vgg19,IxG-SG-raw,0.06096624731972823
vgg19,IxG-SG-abs,0.2193534359958622
vgg19,Grad-CAM,0.507285802533116
vgg19,Grad-CAMpp,0.3877307282841756
vgg19,SG-CAMpp,0.29583020857676573
vgg19,XG-CAM,0.5359529987126415
vgg19,Layer-CAM,0.4348675233539754
vgg16_bn,Gradient-abs,0.25193804261444613
vgg16_bn,IxG-raw,0.08385239387623515
vgg16_bn,IxG-abs,0.20094690437990076
vgg16_bn,IxG-SG-raw,-0.0038191060263003816
vgg16_bn,IxG-SG-abs,0.17993957205619954
vgg16_bn,Grad-CAM,0.5196101780554091
vgg16_bn,Grad-CAMpp,0.4062519680316688
vgg16_bn,SG-CAMpp,0.272280853532765
vgg16_bn,XG-CAM,0.5382335632007355
vgg16_bn,Layer-CAM,0.400147696090927
x_resnet50,Gradient-abs,0.20439114723126034
x_resnet50,IxG-raw,0.24398719467394317
x_resnet50,IxG-abs,0.15752800227916802
x_resnet50,IxG-SG-raw,0.1221814037876178
x_resnet50,IxG-SG-abs,0.20972470048432315
x_resnet50,Grad-CAM,0.41630035116926584
x_resnet50,Grad-CAMpp,0.3259157907363815
x_resnet50,SG-CAMpp,0.2590701893808761
x_resnet50,XG-CAM,0.41630035116926584
x_resnet50,Layer-CAM,0.3234934248999111
x_vgg16,Gradient-abs,0.2907348817681548
x_vgg16,IxG-raw,0.3301862320253114
x_vgg16,IxG-abs,0.23764151084854052
x_vgg16,IxG-SG-raw,0.13018623202531077
x_vgg16,IxG-SG-abs,0.2592673674108948
x_vgg16,Grad-CAM,0.5440999171991483
x_vgg16,Grad-CAMpp,0.46509723950758064
x_vgg16,SG-CAMpp,0.33058663489051016
x_vgg16,XG-CAM,0.5772340827542725
x_vgg16,Layer-CAM,0.47841687783958753
