model,explainer,idsds
resnet18,Gradient-abs,0.12059443493617618
resnet18,IxG-raw,0.10271320741931389
resnet18,IxG-abs,0.09697003222134286
resnet18,IxG-SG-raw,0.0037792257184310904
resnet18,IxG-SG-abs,0.11724566877547636
resnet18,Grad-CAM,0.3615255635271999
resnet18,Grad-CAMpp,0.24977212237976404
resnet18,SG-CAMpp,0.17444705015372178
resnet18,XG-CAM,0.36152043985098337
resnet18,Layer-CAM,0.2227149314197533
resnet50,Gradient-abs,0.12114014587104661
resnet50,IxG-raw,0.06978896397338716
resnet50,IxG-abs,0.10161383654843444
resnet50,IxG-SG-raw,-0.017412900047861442
resnet50,IxG-SG-abs,0.09518257574381217
resnet50,Grad-CAM,0.3589278570906269
resnet50,Grad-CAMpp,0.2471480544456875
resnet50,SG-CAMpp,0.16077370673398458
resnet50,XG-CAM,0.3589429869118477
resnet50,Layer-CAM,0.21977161035562126
resnet101,Gradient-abs,0.09004638536593489
resnet101,IxG-raw,0.06339876287776224
resnet101,IxG-abs,0.08006864509704155
resnet101,IxG-SG-raw,-0.006173689524199446
resnet101,IxG-SG-abs,0.07071008774645982
resnet101,Grad-CAM,0.3228979099813265
resnet101,Grad-CAMpp,0.20895890716353596
resnet101,SG-CAMpp,0.1394568977282816
resnet101,XG-CAM,0.3228940129403343
resnet101,Layer-CAM,0.18232419660139665
resnet152,Gradient-abs,0.08428223145824013
resnet152,IxG-raw,0.06368119743397688
resnet152,IxG-abs,0.07195811132005768
resnet152,IxG-SG-raw,-0.008975787221065124
resnet152,IxG-SG-abs,0.06877228466231117
resnet152,Grad-CAM,0.30211168477574063
resnet152,Grad-CAMpp,0.1919589156680206
resnet152,SG-CAMpp,0.12730897787036097
resnet152,XG-CAM,0.30212029339993934
resnet152,Layer-CAM,0.16787257158761743
wide_resnet50_2,Gradient-abs,0.10788822637885548
wide_resnet50_2,IxG-raw,0.062236222077300576
wide_resnet50_2,IxG-abs,0.09053776349868825
wide_resnet50_2,IxG-SG-raw,-0.00559383535910871
wide_resnet50_2,IxG-SG-abs,0.07583801928951708
